title,description,category,priority
Library timing problem,The library timing is causing difficulty for students.,Library,Medium
Library book unavailable,The digital library is not accessible.,Library,Medium
Computer network issue,I am facing a network connectivity problem. This has been causing inconvenience at Hostel C.,IT / Wi-Fi,Low
Hostel room issue,The hostel common area is not being cleaned properly. Students at Sports Complex are affected.,Hostel,Low
Bus delay,The scheduled bus service did not arrive. Students at Sports Complex are affected.,Transport,Medium
Library timing problem,The digital library is not accessible. The issue is at Hostel A.,Library,Medium
Broken classroom equipment,The campus infrastructure needs attention. I noticed this problem at Hostel B.,Infrastructure,High
Hostel electricity problem,The bathroom facilities require attention. Students at Library are affected.,Hostel,Medium
Damaged facility,The area requires proper cleaning.,Maintenance,Medium
Campus WiFi issue,Internet speed is extremely slow. I noticed this problem at Main Building.,IT / Wi-Fi,Medium
Classroom infrastructure issue,Water is leaking from the classroom ceiling. The issue is at Sports Complex.,Infrastructure,Medium
Book return issue,A computer in the library is not working. Students at Computer Lab are affected.,Library,Medium
Hostel cleanliness problem,There is an electricity problem in the hostel. Students at Library are affected.,Hostel,Low
Reference book unavailable,The required book is not available in the library. Students at Main Building are affected.,Library,Medium
Hostel electricity problem,The bathroom facilities require attention. The issue is at Hostel B.,Hostel,Low
Damaged facility,A maintenance request has been pending. This has been causing inconvenience at Hostel C.,Maintenance,High
Cleaning required,A maintenance request has been pending. This has been causing inconvenience at Hostel B.,Maintenance,Medium
Electrical infrastructure issue,Some equipment in the classroom is damaged. I noticed this problem at Hostel A.,Infrastructure,Low
Library seat problem,A computer in the library is not working. I noticed this problem at Hostel B.,Library,Medium
Broken fan,An electrical repair is required. The issue is at Campus.,Maintenance,Medium
Bus delay,There is a problem with the transport facility. Students at Main Gate are affected.,Transport,High
Classroom infrastructure issue,Some equipment in the classroom is damaged. Students at Library are affected.,Infrastructure,Medium
Plumbing problem,There is a plumbing problem that needs attention. Students at Main Building are affected.,Maintenance,Low
Internal marks issue,I need assistance regarding an academic issue. The issue is at Hostel C.,Academic,Medium
Internal marks issue,My attendance is incorrect in the academic record.,Academic,High
Internet connectivity problem,WiFi is not working in my hostel. Students at Academic Block are affected.,IT / Wi-Fi,Medium
Hostel facility problem,Water supply has been irregular in the hostel. This has been causing inconvenience at Main Building.,Hostel,High
Bus overcrowding,There is an issue with the current bus route.,Transport,High
Campus infrastructure problem,Water is leaking from the classroom ceiling. Students at Library are affected.,Infrastructure,High
Result not updated,I need assistance regarding an academic issue. I noticed this problem at Computer Lab.,Academic,Medium
Lab equipment problem,Some required laboratory equipment is missing. The issue is at Main Gate.,Laboratory,Low
Library facility problem,I am facing an issue while returning a library book. The issue is at Campus.,Library,High
Damaged facility,The lights in the room are not working. I noticed this problem at Computer Lab.,Maintenance,Low
Water leakage,The ceiling fan is not working. This has been causing inconvenience at Hostel B.,Maintenance,Medium
Building maintenance issue,The building requires maintenance. The issue is at Hostel C.,Infrastructure,High
Room maintenance issue,The hostel common area is not being cleaned properly. Students at Main Gate are affected.,Hostel,Medium
Library computer issue,A computer in the library is not working.,Library,High
Library seat problem,The required reference book is unavailable.,Library,High
Electrical repair required,A maintenance request has been pending. Students at Hostel C are affected.,Maintenance,Low
Water supply problem,The bathroom facilities require attention. I noticed this problem at Campus.,Hostel,High
Lab workstation problem,There is a problem with the laboratory facilities.,Laboratory,High
Exam schedule problem,My semester result is still not showing. Students at Laboratory Block are affected.,Academic,High
Internal marks issue,I am facing a problem while registering for my course. The issue is at Academic Block.,Academic,High
Laboratory maintenance,The equipment required for the practical is not working. I noticed this problem at Library.,Laboratory,Medium
Laboratory facility issue,A computer in the laboratory is not functioning. Students at Academic Block are affected.,Laboratory,Medium
Missing bus service,The college bus is overcrowded.,Transport,Low
Computer network issue,The student portal is not working properly. This has been causing inconvenience at Laboratory Block.,IT / Wi-Fi,Medium
Exam schedule problem,My attendance is incorrect in the academic record.,Academic,High
Classroom infrastructure issue,Several chairs and desks are damaged. Students at Academic Block are affected.,Infrastructure,Low
WiFi not working,The computer network is not accessible. I noticed this problem at Hostel A.,IT / Wi-Fi,Medium
Laboratory maintenance,There is a problem with the laboratory facilities. This has been causing inconvenience at Campus.,Laboratory,Low
Assignment submission issue,I am facing a problem while registering for my course.,Academic,High
Electrical infrastructure issue,The campus infrastructure needs attention. Students at Library are affected.,Infrastructure,Medium
Bathroom issue,There is a problem with my hostel room. The issue is at Laboratory Block.,Hostel,Medium
Student portal not working,The student portal is not working properly. Students at Main Gate are affected.,IT / Wi-Fi,Medium
Water leakage,There is water leakage that requires immediate repair. Students at Computer Lab are affected.,Maintenance,Medium
Assignment submission issue,My semester result is still not showing. I noticed this problem at Sports Complex.,Academic,Medium
Maintenance request,The area requires proper cleaning. I noticed this problem at Computer Lab.,Maintenance,Medium
Bus overcrowding,There is a problem with the transport facility. The issue is at Sports Complex.,Transport,Low
Library seat problem,There are not enough seats available in the library. The issue is at Main Gate.,Library,High
Hostel electricity problem,The bathroom facilities require attention. I noticed this problem at Main Gate.,Hostel,Medium
Practical equipment damaged,There is a safety issue in the laboratory.,Laboratory,Critical
WiFi not working,Internet speed is extremely slow. I noticed this problem at Main Gate.,IT / Wi-Fi,Medium
Faculty related issue,My semester result is still not showing. This has been causing inconvenience at Main Building.,Academic,High
Water leakage,The lights in the room are not working. Students at Library are affected.,Maintenance,High
Library seat problem,The library timing is causing difficulty for students.,Library,Medium
Laboratory computer issue,There is a problem with the laboratory facilities. I noticed this problem at Hostel C.,Laboratory,Medium
Library computer issue,I am facing an issue while returning a library book. Students at Library are affected.,Library,Medium
Cleaning required,The area requires proper cleaning.,Maintenance,Medium
Bus route problem,The college bus requires maintenance.,Transport,Low
Transport timing problem,There is an issue with the current bus route. This has been causing inconvenience at Main Gate.,Transport,Medium
Water leakage,The ceiling fan is not working. Students at Hostel C are affected.,Maintenance,Medium
Damaged facility,The ceiling fan is not working. Students at Library are affected.,Maintenance,Low
Missing bus service,The college bus service is facing a problem. The issue is at Library.,Transport,Low
Bus overcrowding,The transport timing is inconvenient.,Transport,Medium
Bus route problem,The college bus service is facing a problem. This has been causing inconvenience at Sports Complex.,Transport,High
Maintenance request,A campus facility is damaged and needs repair. The issue is at Laboratory Block.,Maintenance,Low
Login portal issue,WiFi is not working in my hostel.,IT / Wi-Fi,Medium
Marks not updated,I am unable to submit my assignment through the portal. I noticed this problem at Academic Block.,Academic,Medium
Broken classroom equipment,Water is leaking from the classroom ceiling.,Infrastructure,Medium
Broken classroom equipment,The classroom infrastructure needs maintenance. I noticed this problem at Main Building.,Infrastructure,High
Library facility problem,The library timing is causing difficulty for students. This has been causing inconvenience at Library.,Library,Medium
Campus WiFi issue,Internet speed is extremely slow. Students at Hostel A are affected.,IT / Wi-Fi,Medium
Building maintenance issue,The classroom infrastructure needs maintenance.,Infrastructure,Medium
Hostel electricity problem,There is a problem with my hostel room. I noticed this problem at Laboratory Block.,Hostel,Low
Attendance issue,My marks have not been updated on the student portal. The issue is at Hostel A.,Academic,High
Transport facility issue,There is an issue with the current bus route. I noticed this problem at Campus.,Transport,High
Building maintenance issue,The classroom infrastructure needs maintenance. This has been causing inconvenience at Main Building.,Infrastructure,Low
Missing lab equipment,One of the lab workstations is not working.,Laboratory,Low
Laboratory computer issue,A computer in the laboratory is not functioning. Students at Computer Lab are affected.,Laboratory,Medium
Lab safety issue,The laboratory requires maintenance. I noticed this problem at Laboratory Block.,Laboratory,Medium
Faculty related issue,I am unable to submit my assignment through the portal. I noticed this problem at Computer Lab.,Academic,Medium
Marks not updated,My attendance is incorrect in the academic record.,Academic,High
Broken classroom equipment,Some equipment in the classroom is damaged. I noticed this problem at Hostel B.,Infrastructure,Medium
Bus overcrowding,The college bus is overcrowded. The issue is at Computer Lab.,Transport,Low
Classroom infrastructure issue,There is a problem with the classroom facilities. I noticed this problem at Library.,Infrastructure,High
Water supply problem,There is a problem with my hostel room. Students at Hostel A are affected.,Hostel,Medium
Digital library issue,The required reference book is unavailable. I noticed this problem at Sports Complex.,Library,High
Hostel electricity problem,There is an electricity problem in the hostel. The issue is at Hostel C.,Hostel,High
Damaged facility,There is a plumbing problem that needs attention. This has been causing inconvenience at Laboratory Block.,Maintenance,High
Broken classroom equipment,Several chairs and desks are damaged. Students at Hostel A are affected.,Infrastructure,Low
Damaged facility,A campus facility is damaged and needs repair.,Maintenance,High
Library book unavailable,The library timing is causing difficulty for students. This has been causing inconvenience at Computer Lab.,Library,Low
Damaged facility,There is water leakage that requires immediate repair. I noticed this problem at Hostel B.,Maintenance,Medium
Assignment submission issue,I am facing a problem while registering for my course.,Academic,Low
Broken light,A campus facility is damaged and needs repair. This has been causing inconvenience at Library.,Maintenance,Medium
Marks not updated,The examination schedule has not been updated properly. This has been causing inconvenience at Campus.,Academic,High
Broken classroom equipment,There is an electrical infrastructure problem. Students at Library are affected.,Infrastructure,Medium
Lab equipment problem,There is a safety issue in the laboratory. This has been causing inconvenience at Campus.,Laboratory,Critical
Broken light,An electrical repair is required. This has been causing inconvenience at Computer Lab.,Maintenance,High
Hostel facility problem,A basic hostel facility is not working properly. The issue is at Library.,Hostel,High
Attendance issue,My internal assessment marks appear to be incorrect. The issue is at Laboratory Block.,Academic,Low
Bathroom issue,The hostel common area is not being cleaned properly. This has been causing inconvenience at Main Gate.,Hostel,Medium
Library book unavailable,I am facing an issue while returning a library book. I noticed this problem at Computer Lab.,Library,High
Reference book unavailable,A computer in the library is not working. Students at Hostel B are affected.,Library,Low
Digital library issue,There are not enough seats available in the library.,Library,Medium
Hostel room issue,I have an issue with my hostel room allocation. Students at Computer Lab are affected.,Hostel,High
Bathroom issue,The hostel common area is not being cleaned properly. The issue is at Academic Block.,Hostel,High
Computer network issue,The student portal is not working properly. The issue is at Library.,IT / Wi-Fi,High
Attendance issue,I need assistance regarding an academic issue.,Academic,Medium
Bus delay,The college bus arrived late today. This has been causing inconvenience at Campus.,Transport,High
Damaged furniture,Several chairs and desks are damaged. This has been causing inconvenience at Hostel B.,Infrastructure,Medium
Maintenance request,The lights in the room are not working. This has been causing inconvenience at Main Building.,Maintenance,Medium
Laboratory facility issue,Some required laboratory equipment is missing. This has been causing inconvenience at Hostel C.,Laboratory,Medium
Book return issue,I am facing an issue while returning a library book.,Library,Medium
Library timing problem,The library timing is causing difficulty for students.,Library,Medium
Hostel electricity problem,A basic hostel facility is not working properly.,Hostel,High
Lab workstation problem,The equipment required for the practical is not working. The issue is at Campus.,Laboratory,Low
Broken fan,There is water leakage that requires immediate repair. The issue is at Main Gate.,Maintenance,Medium
Missing lab equipment,Practical equipment appears to be damaged. I noticed this problem at Main Gate.,Laboratory,Medium
Result not updated,I am unable to submit my assignment through the portal. The issue is at Campus.,Academic,Medium
Bus route problem,The transport timing is inconvenient.,Transport,High
Network connection problem,WiFi is not working in my hostel. This has been causing inconvenience at Laboratory Block.,IT / Wi-Fi,High
Library book unavailable,The required book is not available in the library. Students at Main Building are affected.,Library,High
Login portal issue,The student portal is not working properly. I noticed this problem at Academic Block.,IT / Wi-Fi,High
Broken classroom equipment,Several chairs and desks are damaged.,Infrastructure,Low
Water leakage,A maintenance request has been pending.,Maintenance,Medium
Damaged furniture,There is a problem with the classroom facilities. I noticed this problem at Hostel A.,Infrastructure,High
Classroom infrastructure issue,Several chairs and desks are damaged.,Infrastructure,Low
Laboratory facility issue,The laboratory requires maintenance. I noticed this problem at Hostel B.,Laboratory,Medium
Broken classroom equipment,Several chairs and desks are damaged.,Infrastructure,High
Hostel electricity problem,The hostel common area is not being cleaned properly. I noticed this problem at Academic Block.,Hostel,Medium
Library seat problem,I am facing an issue while returning a library book.,Library,High
Attendance issue,I am facing a problem while registering for my course. Students at Computer Lab are affected.,Academic,Medium
Course registration problem,My internal assessment marks appear to be incorrect. This has been causing inconvenience at Hostel B.,Academic,Medium
Lab equipment problem,The laboratory requires maintenance.,Laboratory,High
Bus delay,The college bus is overcrowded. Students at Main Gate are affected.,Transport,Medium
Water supply problem,I have an issue with my hostel room allocation.,Hostel,Low
Hostel cleanliness problem,The hostel common area is not being cleaned properly. This has been causing inconvenience at Main Gate.,Hostel,Low
Internet speed problem,The internet connection is unavailable. Students at Main Gate are affected.,IT / Wi-Fi,High
Faculty related issue,I am facing a problem while registering for my course. The issue is at Hostel A.,Academic,Low
Exam schedule problem,My semester result is still not showing. The issue is at Campus.,Academic,Medium
Lab workstation problem,One of the lab workstations is not working. This has been causing inconvenience at Computer Lab.,Laboratory,High
Library book unavailable,A library facility requires maintenance. The issue is at Main Gate.,Library,Low
Hostel room issue,Water supply has been irregular in the hostel.,Hostel,Low
Practical equipment damaged,A computer in the laboratory is not functioning. This has been causing inconvenience at Main Building.,Laboratory,High
Water leakage,A campus facility is damaged and needs repair.,Maintenance,Medium
Ceiling leakage,There is a problem with the classroom facilities. Students at Main Gate are affected.,Infrastructure,Medium
Library book unavailable,The library timing is causing difficulty for students. The issue is at Hostel B.,Library,Low
Electrical repair required,There is a plumbing problem that needs attention. I noticed this problem at Academic Block.,Maintenance,Medium
Broken fan,The ceiling fan is not working. Students at Hostel C are affected.,Maintenance,Medium
Internet connectivity problem,Campus WiFi keeps disconnecting.,IT / Wi-Fi,Low
Bus route problem,The college bus is overcrowded. The issue is at Main Gate.,Transport,Medium
Hostel cleanliness problem,A basic hostel facility is not working properly. I noticed this problem at Library.,Hostel,Medium
Internet connectivity problem,I am facing a network connectivity problem. The issue is at Sports Complex.,IT / Wi-Fi,Medium
Reference book unavailable,The required reference book is unavailable.,Library,High
Missing lab equipment,The laboratory requires maintenance. This has been causing inconvenience at Library.,Laboratory,Medium
Course registration problem,I am unable to submit my assignment through the portal. This has been causing inconvenience at Academic Block.,Academic,Medium
Library timing problem,The digital library is not accessible. This has been causing inconvenience at Computer Lab.,Library,High
Library seat problem,The required reference book is unavailable. The issue is at Campus.,Library,High
Broken classroom equipment,There is a problem with the classroom facilities.,Infrastructure,Medium
Laboratory computer issue,A computer in the laboratory is not functioning.,Laboratory,Low
Broken light,There is water leakage that requires immediate repair. I noticed this problem at Campus.,Maintenance,High
Campus infrastructure problem,Water is leaking from the classroom ceiling.,Infrastructure,Medium
Electrical infrastructure issue,Some equipment in the classroom is damaged. I noticed this problem at Laboratory Block.,Infrastructure,Low
Campus WiFi issue,Campus WiFi keeps disconnecting. Students at Computer Lab are affected.,IT / Wi-Fi,Medium
Electrical infrastructure issue,The campus infrastructure needs attention. Students at Hostel A are affected.,Infrastructure,High
Internet connectivity problem,I am facing a network connectivity problem. Students at Library are affected.,IT / Wi-Fi,Low
Login portal issue,Internet speed is extremely slow. This has been causing inconvenience at Computer Lab.,IT / Wi-Fi,Low
Course registration problem,My attendance is incorrect in the academic record. I noticed this problem at Campus.,Academic,Medium
Ceiling leakage,Water is leaking from the classroom ceiling.,Infrastructure,Low
Lab workstation problem,There is a safety issue in the laboratory. This has been causing inconvenience at Campus.,Laboratory,Critical
Digital library issue,The required reference book is unavailable.,Library,High
Exam schedule problem,I need assistance regarding an academic issue. Students at Hostel C are affected.,Academic,Low
Lab safety issue,Some required laboratory equipment is missing. Students at Hostel C are affected.,Laboratory,Medium
Hostel cleanliness problem,My hostel room requires maintenance. The issue is at Library.,Hostel,High
Bus maintenance problem,The transport timing is inconvenient. Students at Sports Complex are affected.,Transport,High
Assignment submission issue,My marks have not been updated on the student portal.,Academic,Medium
Classroom infrastructure issue,Several chairs and desks are damaged. Students at Hostel A are affected.,Infrastructure,Medium
Ceiling leakage,The classroom infrastructure needs maintenance. I noticed this problem at Main Gate.,Infrastructure,Low
Computer network issue,The computer network is not accessible. Students at Computer Lab are affected.,IT / Wi-Fi,Medium
Broken fan,The ceiling fan is not working.,Maintenance,Medium
Campus infrastructure problem,There is an electrical infrastructure problem.,Infrastructure,Low
Internet speed problem,Internet speed is extremely slow. The issue is at Hostel C.,IT / Wi-Fi,Low
Internet speed problem,Campus WiFi keeps disconnecting. The issue is at Sports Complex.,IT / Wi-Fi,Medium
Bus delay,There is an issue with the current bus route. This has been causing inconvenience at Hostel B.,Transport,Medium
Internal marks issue,My internal assessment marks appear to be incorrect. The issue is at Library.,Academic,High
Computer network issue,Internet speed is extremely slow.,IT / Wi-Fi,Low
Broken fan,There is a plumbing problem that needs attention. Students at Computer Lab are affected.,Maintenance,Low
Lab workstation problem,Practical equipment appears to be damaged. The issue is at Academic Block.,Laboratory,Low
Hostel room issue,My hostel room requires maintenance. Students at Main Gate are affected.,Hostel,Medium
Cleaning required,An electrical repair is required. This has been causing inconvenience at Hostel C.,Maintenance,Medium
Lab workstation problem,The laboratory requires maintenance. I noticed this problem at Sports Complex.,Laboratory,High
Internet speed problem,The computer network is not accessible. I noticed this problem at Hostel C.,IT / Wi-Fi,High
Practical equipment damaged,The laboratory requires maintenance. Students at Laboratory Block are affected.,Laboratory,Low
Computer network issue,Campus WiFi keeps disconnecting. Students at Hostel B are affected.,IT / Wi-Fi,High
Library book unavailable,The library timing is causing difficulty for students. The issue is at Laboratory Block.,Library,Low
Electrical infrastructure issue,Water is leaking from the classroom ceiling. The issue is at Hostel B.,Infrastructure,Medium
Login portal issue,The internet connection is unavailable. The issue is at Sports Complex.,IT / Wi-Fi,High
Maintenance request,There is a plumbing problem that needs attention. The issue is at Sports Complex.,Maintenance,Medium
Bus maintenance problem,The college bus arrived late today.,Transport,Medium
WiFi not working,The student portal is not working properly. Students at Sports Complex are affected.,IT / Wi-Fi,Low
Book return issue,The required book is not available in the library. The issue is at Hostel C.,Library,Medium
Cleaning required,A maintenance request has been pending.,Maintenance,Medium
Attendance issue,My attendance is incorrect in the academic record. I noticed this problem at Campus.,Academic,Medium
Library seat problem,I am facing an issue while returning a library book. Students at Sports Complex are affected.,Library,High
Water leakage,There is a plumbing problem that needs attention. This has been causing inconvenience at Hostel C.,Maintenance,Low
Bathroom issue,There is an electricity problem in the hostel.,Hostel,Medium
Laboratory facility issue,One of the lab workstations is not working. This has been causing inconvenience at Sports Complex.,Laboratory,Medium
Reference book unavailable,The required reference book is unavailable. The issue is at Sports Complex.,Library,High
Bus route problem,The college bus is overcrowded. This has been causing inconvenience at Hostel B.,Transport,Medium
Login portal issue,Internet speed is extremely slow.,IT / Wi-Fi,Low
Lab safety issue,Practical equipment appears to be damaged. This has been causing inconvenience at Hostel B.,Laboratory,Medium
Hostel room allocation issue,A basic hostel facility is not working properly. I noticed this problem at Library.,Hostel,Medium
Missing lab equipment,There is a safety issue in the laboratory. Students at Computer Lab are affected.,Laboratory,Critical
Student portal not working,I am facing a network connectivity problem. Students at Academic Block are affected.,IT / Wi-Fi,Medium
Login portal issue,Campus WiFi keeps disconnecting. The issue is at Hostel B.,IT / Wi-Fi,Low
Bus delay,The college bus arrived late today. I noticed this problem at Computer Lab.,Transport,Medium
Bus overcrowding,The college bus requires maintenance.,Transport,Medium
Broken light,The ceiling fan is not working.,Maintenance,High
Bus delay,The scheduled bus service did not arrive. Students at Laboratory Block are affected.,Transport,High
Hostel facility problem,There is an electricity problem in the hostel. The issue is at Hostel A.,Hostel,Medium
Electrical repair required,The area requires proper cleaning.,Maintenance,Medium
Classroom problem,The building requires maintenance. This has been causing inconvenience at Main Building.,Infrastructure,Medium
Library timing problem,The required reference book is unavailable. Students at Laboratory Block are affected.,Library,High
Cleaning required,The area requires proper cleaning. I noticed this problem at Laboratory Block.,Maintenance,High
Damaged furniture,The building requires maintenance. I noticed this problem at Hostel B.,Infrastructure,Medium
Maintenance request,The lights in the room are not working. Students at Hostel C are affected.,Maintenance,High
Exam schedule problem,My internal assessment marks appear to be incorrect. Students at Computer Lab are affected.,Academic,Medium
Bus overcrowding,The college bus is overcrowded.,Transport,Low
Electrical repair required,The ceiling fan is not working. Students at Hostel A are affected.,Maintenance,Medium
Bus route problem,The college bus requires maintenance. I noticed this problem at Library.,Transport,Medium
Library seat problem,The digital library is not accessible. This has been causing inconvenience at Hostel A.,Library,Low
Book return issue,The library timing is causing difficulty for students. I noticed this problem at Main Building.,Library,Medium
Bus maintenance problem,There is an issue with the current bus route.,Transport,Medium
College bus issue,The college bus service is facing a problem. I noticed this problem at Main Gate.,Transport,High
Electrical repair required,An electrical repair is required. I noticed this problem at Hostel C.,Maintenance,Medium
Digital library issue,There are not enough seats available in the library.,Library,High
Laboratory facility issue,The laboratory requires maintenance.,Laboratory,High
Broken fan,The ceiling fan is not working. Students at Hostel A are affected.,Maintenance,Medium
Laboratory computer issue,There is a safety issue in the laboratory. This has been causing inconvenience at Hostel C.,Laboratory,Critical
Water supply problem,Water supply has been irregular in the hostel.,Hostel,Low
Internal marks issue,My attendance is incorrect in the academic record. I noticed this problem at Hostel B.,Academic,Medium
Room maintenance issue,The bathroom facilities require attention. Students at Academic Block are affected.,Hostel,Medium
College bus issue,The college bus service is facing a problem. Students at Campus are affected.,Transport,Low
Course registration problem,I am facing a problem while registering for my course. This has been causing inconvenience at Computer Lab.,Academic,Medium
College bus issue,The college bus service is facing a problem.,Transport,High
Plumbing problem,The area requires proper cleaning.,Maintenance,Medium
Hostel facility problem,The bathroom facilities require attention. This has been causing inconvenience at Library.,Hostel,Medium
Classroom problem,The classroom infrastructure needs maintenance.,Infrastructure,Medium
Library seat problem,The required reference book is unavailable. The issue is at Campus.,Library,High
Bus maintenance problem,The college bus is overcrowded. This has been causing inconvenience at Hostel A.,Transport,Medium
WiFi not working,I cannot log in to the student portal. This has been causing inconvenience at Academic Block.,IT / Wi-Fi,High
Broken light,The ceiling fan is not working. This has been causing inconvenience at Main Gate.,Maintenance,High
Network connection problem,The internet connection is unavailable. Students at Laboratory Block are affected.,IT / Wi-Fi,High
Practical equipment damaged,Practical equipment appears to be damaged. Students at Laboratory Block are affected.,Laboratory,Low
Damaged furniture,There is a problem with the classroom facilities. This has been causing inconvenience at Hostel B.,Infrastructure,High
Laboratory facility issue,There is a safety issue in the laboratory. The issue is at Library.,Laboratory,Critical
Classroom infrastructure issue,The classroom infrastructure needs maintenance. The issue is at Hostel C.,Infrastructure,Medium
Missing lab equipment,There is a problem with the laboratory facilities. Students at Hostel A are affected.,Laboratory,Low
Classroom infrastructure issue,There is an electrical infrastructure problem. I noticed this problem at Academic Block.,Infrastructure,High
Laboratory facility issue,The laboratory requires maintenance. The issue is at Computer Lab.,Laboratory,Medium
Hostel room allocation issue,There is a problem with my hostel room. This has been causing inconvenience at Main Building.,Hostel,Low
College bus issue,The transport timing is inconvenient. This has been causing inconvenience at Main Building.,Transport,Low
Hostel cleanliness problem,My hostel room requires maintenance. Students at Computer Lab are affected.,Hostel,Low
Computer network issue,The internet connection is unavailable. Students at Campus are affected.,IT / Wi-Fi,High
Transport facility issue,The college bus is overcrowded. Students at Library are affected.,Transport,Low
Bathroom issue,A basic hostel facility is not working properly. I noticed this problem at Main Gate.,Hostel,Medium
Library book unavailable,I am facing an issue while returning a library book. Students at Hostel B are affected.,Library,High
Library book unavailable,The library timing is causing difficulty for students.,Library,Low
Broken light,There is water leakage that requires immediate repair.,Maintenance,High
Campus infrastructure problem,Some equipment in the classroom is damaged. Students at Academic Block are affected.,Infrastructure,High
Hostel electricity problem,There is a problem with my hostel room. I noticed this problem at Hostel A.,Hostel,Medium
Hostel room allocation issue,A basic hostel facility is not working properly. I noticed this problem at Academic Block.,Hostel,Medium
Transport timing problem,The college bus arrived late today. I noticed this problem at Laboratory Block.,Transport,Medium
Lab equipment problem,There is a problem with the laboratory facilities.,Laboratory,Medium
Transport timing problem,The college bus service is facing a problem. I noticed this problem at Campus.,Transport,Medium
Bus overcrowding,The college bus service is facing a problem.,Transport,Medium
Bus overcrowding,The college bus is overcrowded. I noticed this problem at Campus.,Transport,High
Internal marks issue,The examination schedule has not been updated properly.,Academic,Medium
Login portal issue,The internet connection is unavailable.,IT / Wi-Fi,High
Broken light,A campus facility is damaged and needs repair. Students at Campus are affected.,Maintenance,Medium
Library facility problem,The digital library is not accessible. The issue is at Hostel B.,Library,Low
Exam schedule problem,The examination schedule has not been updated properly. Students at Hostel A are affected.,Academic,Low
Transport timing problem,There is an issue with the current bus route.,Transport,High
Bus overcrowding,The college bus arrived late today. Students at Library are affected.,Transport,Low
Assignment submission issue,I need assistance regarding an academic issue. This has been causing inconvenience at Hostel B.,Academic,Low
Library facility problem,The digital library is not accessible.,Library,Medium
Attendance issue,My semester result is still not showing. Students at Hostel B are affected.,Academic,Low
Hostel cleanliness problem,My hostel room requires maintenance. Students at Academic Block are affected.,Hostel,Medium
Ceiling leakage,Some equipment in the classroom is damaged.,Infrastructure,Medium
Transport facility issue,There is an issue with the current bus route. Students at Hostel C are affected.,Transport,High
Library timing problem,The required reference book is unavailable. I noticed this problem at Library.,Library,High
Digital library issue,A library facility requires maintenance. This has been causing inconvenience at Main Gate.,Library,Medium
Student portal not working,Internet speed is extremely slow. I noticed this problem at Campus.,IT / Wi-Fi,Medium
Bus maintenance problem,There is a problem with the transport facility. The issue is at Hostel A.,Transport,Medium
Exam schedule problem,My semester result is still not showing. I noticed this problem at Hostel A.,Academic,Medium
Login portal issue,WiFi is not working in my hostel.,IT / Wi-Fi,Medium
Hostel room issue,A basic hostel facility is not working properly. Students at Library are affected.,Hostel,Medium
Laboratory maintenance,There is a safety issue in the laboratory. I noticed this problem at Academic Block.,Laboratory,Critical
Laboratory computer issue,One of the lab workstations is not working. Students at Sports Complex are affected.,Laboratory,Low
Reference book unavailable,The library timing is causing difficulty for students.,Library,Low
Lab equipment problem,One of the lab workstations is not working. The issue is at Hostel B.,Laboratory,Medium
Library facility problem,A library facility requires maintenance. Students at Hostel B are affected.,Library,Low
Water leakage,There is a plumbing problem that needs attention. The issue is at Campus.,Maintenance,Medium
Campus infrastructure problem,The building requires maintenance. The issue is at Hostel C.,Infrastructure,High
Bus route problem,The transport timing is inconvenient. I noticed this problem at Laboratory Block.,Transport,High
Damaged furniture,The campus infrastructure needs attention. This has been causing inconvenience at Hostel B.,Infrastructure,Low
Plumbing problem,An electrical repair is required.,Maintenance,High
Damaged furniture,There is an electrical infrastructure problem. Students at Campus are affected.,Infrastructure,High
Broken light,The lights in the room are not working. The issue is at Academic Block.,Maintenance,Medium
Cleaning required,An electrical repair is required. This has been causing inconvenience at Hostel B.,Maintenance,High
Digital library issue,I am facing an issue while returning a library book. I noticed this problem at Library.,Library,Low
Missing lab equipment,The laboratory requires maintenance. This has been causing inconvenience at Sports Complex.,Laboratory,Medium
Bus delay,The transport timing is inconvenient. I noticed this problem at Academic Block.,Transport,Medium
Water supply problem,There is a problem with my hostel room.,Hostel,Medium
Lab equipment problem,The laboratory requires maintenance. I noticed this problem at Hostel B.,Laboratory,High
Bus delay,The scheduled bus service did not arrive.,Transport,Medium
Network connection problem,The computer network is not accessible. Students at Sports Complex are affected.,IT / Wi-Fi,Low
Water leakage,There is a plumbing problem that needs attention. The issue is at Hostel C.,Maintenance,Medium
Network connection problem,WiFi is not working in my hostel. The issue is at Computer Lab.,IT / Wi-Fi,Low
Plumbing problem,The area requires proper cleaning. The issue is at Hostel B.,Maintenance,Medium
Broken light,A maintenance request has been pending. The issue is at Campus.,Maintenance,Medium
Bus route problem,The college bus service is facing a problem.,Transport,High
Marks not updated,I am unable to submit my assignment through the portal. I noticed this problem at Campus.,Academic,Medium
Transport facility issue,The college bus service is facing a problem. I noticed this problem at Hostel A.,Transport,Medium
Library seat problem,I am facing an issue while returning a library book. I noticed this problem at Campus.,Library,Low
Lab workstation problem,The equipment required for the practical is not working. I noticed this problem at Campus.,Laboratory,Medium
Campus infrastructure problem,Water is leaking from the classroom ceiling. Students at Main Gate are affected.,Infrastructure,Low
Broken light,A maintenance request has been pending.,Maintenance,Medium
Plumbing problem,The area requires proper cleaning.,Maintenance,Medium
Campus WiFi issue,The student portal is not working properly. I noticed this problem at Hostel C.,IT / Wi-Fi,Medium
